WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
WARN  | vscode-loader: Could not find package.json(c) in path /Users/tamjid/.config/nvim/snippets (expanded to nil).
WARN  | vscode-loader: Could not resolve all manifests for paths `{ "/Users/tamjid/.config/nvim/snippets" }`: only found `{}`
